C_TICK_N C_S C C_ TO_CHAR(C_FLT_ST SUBST SL_LOCATION_NAME                                   C_TO_ SUBSTR(T.SL_LOC
EUKEY217 509 O EF 12/12/2021 16:30 57366 London                                             15035 Cardiff

EUKEY228 509 O EH 21/07/2021 17:30 57366 London                                             15035 Cardiff

EUKEY497 509 I EC 21/07/2021 09:45 15035 Cardiff                                            57366 London

EUKEY698 509 O E5 28/07/2021 11:00 57366 London                                             15035 Cardiff

EUKEY850 509 I E4 05/09/2021 04:55 15135 Cardiff (Castle)                                   57366 London

EUKEY850 509 O EH 07/09/2021 17:30 57366 London                                             15135 Cardiff (Castle

EUKEY883 509 O EF 25/07/2021 16:30 57366 London                                             15135 Cardiff (Castle

EUKEY897 509 I EG 27/08/2021 12:45 15035 Cardiff                                            57366 London

EUKEY897 509 O EF 29/08/2021 16:30 57366 London                                             15035 Cardiff

EUKEZ868 509 O E8 04/08/2021 12:30 57366 London                                             15135 Cardiff (Castle

EUKEZ939 509 O E3 03/08/2021 08:30 57366 London                                             15035 Cardiff

EUKEZ939 509 I EO 06/08/2021 16:00 15035 Cardiff                                            57366 London

EUKFA450 509 O EF 25/07/2021 16:30 57366 London                                             15035 Cardiff

EUKFA452 509 I EC 29/09/2021 09:45 15255 Newport [S.Wales]                                  57366 London

EUKFA452 509 O E9 02/10/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFA569 509 O EO 28/08/2021 21:30 57366 London                                             15035 Cardiff

EUKFA694 509 O EH 21/07/2021 17:30 57366 London                                             15010 Cardiff Univers

EUKFA720 509 I ED 07/08/2021 10:45 15035 Cardiff                                            57366 London

EUKFA720 509 O E6 08/08/2021 11:30 57366 London                                             15035 Cardiff

EUKFA825 509 I E8 23/07/2021 07:15 15010 Cardiff University                                 57366 London

EUKFA825 509 O ED 23/07/2021 14:30 57366 London                                             15010 Cardiff Univers

EUKFA840 509 I E4 01/08/2021 04:55 15255 Newport [S.Wales]                                  57366 London

EUKFA840 509 O EE 04/08/2021 15:30 57366 London                                             15255 Newport [S.Wale

EUKFA870 509 I E8 26/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFA870 509 O EL 27/07/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFA906 509 O EE 11/08/2021 15:30 57366 London                                             15035 Cardiff

EUKFB052 509 I E5 22/07/2021 04:55 15255 Newport [S.Wales]                                  57366 London

EUKFB052 509 O EE 05/08/2021 15:30 57366 London                                             15255 Newport [S.Wale

EUKFB360 509 O EE 22/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFB360 509 I EK 27/07/2021 14:45 15035 Cardiff                                            57366 London

EUKFB375 509 I EC 05/08/2021 09:45 15035 Cardiff                                            57366 London

EUKFB375 509 O EG 09/08/2021 16:30 57366 London                                             15035 Cardiff

EUKFB417 509 O E8 27/07/2021 12:30 57366 London                                             15035 Cardiff

EUKFB417 509 I EK 28/07/2021 14:45 15035 Cardiff                                            57366 London

EUKFB537 509 O EI 25/07/2021 18:00 57366 London                                             15035 Cardiff

EUKFB729 509 O EN 27/09/2021 20:30 57366 London                                             15010 Cardiff Univers

EUKFB812 509 O E3 25/08/2021 08:30 57366 London                                             15135 Cardiff (Castle

EUKFB891 509 I EC 05/08/2021 09:45 15035 Cardiff                                            57366 London

EUKFB891 509 O EG 09/08/2021 16:30 57366 London                                             15035 Cardiff

EUKFB904 509 O E7 23/07/2021 11:30 57366 London                                             15035 Cardiff

EUKFB993 509 O E5 11/08/2021 11:00 57366 London                                             15035 Cardiff

EUKFB993 509 I ED 14/08/2021 10:45 15035 Cardiff                                            57366 London

EUKFC145 509 O E3 22/07/2021 08:30 57366 London                                             15255 Newport [S.Wale

EUKFC145 509 I E5 29/07/2021 04:55 15255 Newport [S.Wales]                                  57366 London

EUKFC361 509 O E8 29/07/2021 12:30 57366 London                                             15035 Cardiff

EUKFC473 509 I EB 23/07/2021 09:15 15255 Newport [S.Wales]                                  57366 London

EUKFC473 509 O EB 25/07/2021 14:30 57366 London                                             15255 Newport [S.Wale

EUKFC516 509 I ED 03/09/2021 10:45 15255 Newport [S.Wales]                                  57366 London

EUKFC516 509 O E4 06/09/2021 10:30 57366 London                                             15255 Newport [S.Wale

EUKFC557 509 O E5 22/07/2021 11:00 57366 London                                             15035 Cardiff

EUKFC557 509 I ED 25/07/2021 10:45 15035 Cardiff                                            57366 London

EUKFC564 509 I EF 07/08/2021 12:45 15255 Newport [S.Wales]                                  57366 London

EUKFC564 509 O EC 16/08/2021 14:30 57366 London                                             15255 Newport [S.Wale

EUKFC570 509 I EB 06/08/2021 09:15 15010 Cardiff University                                 57366 London

EUKFC570 509 O EB 08/08/2021 14:30 57366 London                                             15010 Cardiff Univers

EUKFC690 509 O E4 07/08/2021 10:30 57366 London                                             15035 Cardiff

EUKFC698 509 I E8 02/08/2021 07:15 15035 Cardiff                                            57366 London

EUKFC698 509 O EN 02/08/2021 20:30 57366 London                                             15035 Cardiff

EUKFC765 509 O E1 31/07/2021 08:30 57366 London                                             15255 Newport [S.Wale

EUKFC765 509 I EL 01/08/2021 15:00 15255 Newport [S.Wales]                                  57366 London

EUKFD080 509 O E2 23/07/2021 08:30 57366 London                                             15035 Cardiff

EUKFD100 509 I EG 30/07/2021 12:45 15035 Cardiff                                            57366 London

EUKFD100 509 O E8 03/08/2021 12:30 57366 London                                             15035 Cardiff

EUKFD137 509 I E8 23/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFD137 509 O E9 25/07/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFD144 509 O EE 22/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFD165 509 I EK 08/09/2021 14:45 15035 Cardiff                                            57366 London

EUKFD165 509 O E6 12/09/2021 11:30 57366 London                                             15035 Cardiff

EUKFD260 509 I EI 18/09/2021 13:45 15035 Cardiff                                            57366 London

EUKFD260 509 O E4 20/09/2021 10:30 57366 London                                             15035 Cardiff

EUKFD299 509 I E3 06/08/2021 04:20 15010 Cardiff University                                 57366 London

EUKFD299 509 O EJ 09/08/2021 18:00 57366 London                                             15010 Cardiff Univers

EUKFD427 509 I E9 05/08/2021 07:15 15035 Cardiff                                            57366 London

EUKFD427 509 O EB 07/08/2021 14:30 57366 London                                             15035 Cardiff

EUKFD491 509 I ER 30/07/2021 17:15 15035 Cardiff                                            57366 London

EUKFD491 509 O EQ 06/08/2021 23:00 57366 London                                             15035 Cardiff

EUKFD516 509 O E9 26/07/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFD532 509 I E9 04/08/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFD532 509 O EN 06/08/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKFD725 509 O E4 19/09/2021 10:30 57366 London                                             15010 Cardiff Univers

EUKFD792 509 O EH 21/07/2021 17:30 57366 London                                             15010 Cardiff Univers

EUKFD796 509 I EM 06/08/2021 15:00 15255 Newport [S.Wales]                                  57366 London

EUKFD796 509 O EF 08/08/2021 16:30 57366 London                                             15255 Newport [S.Wale

EUKFD840 509 I E9 20/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFD840 509 O EL 21/07/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFD854 509 I EP 21/07/2021 16:15 15255 Newport [S.Wales]                                  57366 London

EUKFD984 509 O EJ 27/08/2021 18:00 57366 London                                             15010 Cardiff Univers

EUKFE062 509 O E8 20/07/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFE388 509 O EK 01/08/2021 18:30 57366 London                                             15035 Cardiff

EUKFE406 509 I E9 05/08/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFE406 509 O EK 06/08/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFE573 509 O E3 08/09/2021 08:30 57366 London                                             15010 Cardiff Univers

EUKFE573 509 I EG 10/09/2021 12:45 15010 Cardiff University                                 57366 London

EUKFE732 509 O E2 06/08/2021 08:30 57366 London                                             15035 Cardiff

EUKFE732 509 I EN 08/08/2021 16:00 15035 Cardiff                                            57366 London

EUKFF117 509 O EF 14/08/2021 16:30 57366 London                                             15035 Cardiff

EUKFF181 509 I EC 24/08/2021 09:45 15255 Newport [S.Wales]                                  57366 London

EUKFF181 509 O EJ 27/08/2021 18:00 57366 London                                             15255 Newport [S.Wale

EUKFF190 509 O EH 20/07/2021 17:30 57366 London                                             15255 Newport [S.Wale

EUKFF232 509 I EE 04/08/2021 11:45 15035 Cardiff                                            57366 London

EUKFF232 509 O EC 09/08/2021 14:30 57366 London                                             15035 Cardiff

EUKFF241 509 O E3 22/07/2021 08:30 57366 London                                             15255 Newport [S.Wale

EUKFF305 509 O EP 21/07/2021 22:00 57366 London                                             15035 Cardiff

EUKFF358 509 I EC 20/07/2021 09:45 15135 Cardiff (Castle)                                   57366 London

EUKFF358 509 O EH 20/07/2021 17:30 57366 London                                             15135 Cardiff (Castle

EUKFF377 509 O E7 13/08/2021 11:30 57366 London                                             15345 Chepstow

EUKFF402 509 I EA 14/08/2021 07:45 15255 Newport [S.Wales]                                  57366 London

EUKFF402 509 O E9 15/08/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFF554 509 O E6 01/08/2021 11:30 57366 London                                             15035 Cardiff

EUKFF623 509 I E7 07/08/2021 06:10 15255 Newport [S.Wales]                                  57366 London

EUKFF623 509 O EN 08/08/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKFF821 509 I E8 30/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFF821 509 O EN 31/07/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKFF846 509 I E8 30/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFF846 509 O EN 31/07/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKFG381 509 I E8 30/07/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFG381 509 O EN 31/07/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKFG465 509 I EP 19/08/2021 16:15 15255 Newport [S.Wales]                                  57366 London

EUKFG465 509 O EN 23/08/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKFG505 509 I E6 30/07/2021 05:25 15255 Newport [S.Wales]                                  57366 London

EUKFG505 509 O EK 01/08/2021 18:30 57366 London                                             15255 Newport [S.Wale

EUKFG571 509 I EE 20/07/2021 11:45 15035 Cardiff                                            57366 London

EUKFG571 509 O EL 21/07/2021 18:30 57366 London                                             15035 Cardiff

EUKFG644 509 O EH 21/07/2021 17:30 57366 London                                             15135 Cardiff (Castle

EUKFG710 509 I EA 31/07/2021 07:45 15035 Cardiff                                            57366 London

EUKFG710 509 O EF 01/08/2021 16:30 57366 London                                             15035 Cardiff

EUKFG769 509 I EK 10/08/2021 14:45 15035 Cardiff                                            57366 London

EUKFG793 509 O E1 24/07/2021 08:30 57366 London                                             15135 Cardiff (Castle

